Month_Period,Monthly_Income,Monthly_Expense,Month_dt,Net_Cashflow,Savings_Rate_Pct,Expense_to_Income,Cumulative_Net,Is_Deficit,Income_3M_Avg,Expense_3M_Avg,Savings_Rate_3M,Expense_6M_Avg,Income_MoM_Growth,Expense_MoM_Growth,Year,Needs_Spend,Wants_Spend,Savings_Invest,Needs_Pct,Wants_Pct,Savings_Pct,Needs_Compliant,Wants_Compliant,Savings_Compliant
2020-01,6655.09,16061.16,2020-01-01,-9406.07,-141.34,241.34,-9406.07,True,,,,,,,2020,12967.65,3093.51,2291.0,194.8531124297342,46.48336836917307,34.42477862808767,False,False,True
2020-02,20364.31,16814.1,2020-02-01,3550.2100000000028,17.43,82.57,-5855.859999999997,False,,,,,205.9960120749682,4.687955290900514,2020,4842.51,11971.59,7194.0,23.77939640478857,58.7871133370097,35.32650995786255,True,False,True
2020-03,3465.0,13581.81,2020-03-01,-10116.81,-291.97,391.97,-15972.669999999996,True,10161.466666666667,15485.69,-138.62666666666667,,-82.98493786433225,-19.22368726247613,2020,9279.17,4302.639999999999,2385.0,267.79711399711397,124.17431457431456,68.83116883116884,False,False,True
2020-04,9592.6,14010.45,2020-04-01,-4417.85,-46.05,146.05,-20390.519999999997,True,11140.636666666667,14802.12,-106.86333333333333,,176.84271284271284,3.155985836939279,2020,6604.65,7405.8,3968.0,68.85151053937409,77.20326084690282,41.36521902299689,False,False,True
2020-05,6326.05,16528.08,2020-05-01,-10202.030000000002,-161.27,261.27,-30592.55,True,6461.216666666667,14706.78,-166.42999999999998,,-34.052811542230465,17.96965836215112,2020,10921.66,5606.42,6008.0,172.64580583460452,88.6243390425305,94.97237612728323,False,False,True
2020-06,13453.84,19572.88,2020-06-01,-6119.040000000001,-45.48,145.48,-36711.59,True,9790.83,16703.803333333333,-84.26666666666664,16094.746666666666,112.67362730297737,18.4219824686231,2020,11878.29,7694.59,0.0,88.28921705624566,57.19251901315907,0.0,False,False,False
2020-07,6201.93,23916.34,2020-07-01,-17714.41,-285.63,385.63,-54426.0,True,8660.606666666667,20005.766666666666,-164.12666666666664,17403.943333333333,-53.90215730230179,22.191215600361303,2020,11548.85,12367.49,0.0,186.2138076373,199.41356964686798,0.0,False,False,False
2020-08,16350.98,29976.82,2020-08-01,-13625.84,-83.33,183.33,-68051.84,True,12002.25,24488.680000000004,-138.14666666666662,19597.73,163.64341422750658,25.340332174571856,2020,14658.23,15318.59,4142.0,89.64740951306894,93.68606652322981,25.33181497378139,False,False,True
2020-09,7291.79,15608.36,2020-09-01,-8316.57,-114.05,214.05,-76368.41,True,9948.233333333334,23167.17333333333,-161.0033333333333,19935.488333333335,-55.404569022774176,-47.93190204965037,2020,9569.68,6038.68,0.0,131.23910589855166,82.81478210425698,0.0,False,False,False
2020-10,16722.62,18337.37,2020-10-01,-1614.75,-9.66,109.66,-77983.16,True,13455.13,21307.516666666666,-69.01333333333329,20656.641666666666,129.33490953524444,17.484284063155897,2020,9270.8,9066.57,12897.0,55.43868125927636,54.21740134022062,77.12308238780766,False,False,True
2020-11,12694.76,22409.4,2020-11-01,-9714.640000000001,-76.52,176.52,-87697.8,True,12236.39,18785.043333333335,-66.7433333333333,21636.861666666668,-24.086297482093112,22.20618332945239,2020,10335.19,12074.21,4280.0,81.41303971087284,95.11176264852584,33.71469803288916,False,False,True
2020-12,8623.16,23479.96,2020-12-01,-14856.8,-172.29,272.29,-102554.6,True,12680.18,21408.91,-86.15666666666662,22288.041666666668,-32.0730758202597,4.777280962453245,2020,7572.78,15907.18,2423.0,87.81908256370055,184.47042615468112,28.098748022766596,False,False,True
2021-01,14082.1,15299.01,2021-01-01,-1216.9099999999999,-8.64,108.64,-103771.51000000001,True,11800.006666666668,20396.123333333333,-85.81666666666662,20851.820000000003,63.305563157821496,-34.842265489379024,2021,7436.32,7862.6900000000005,0.0,52.8068966986458,55.83464114017086,0.0,False,False,False
2021-02,2980.17,17749.06,2021-02-01,-14768.890000000001,-495.57,595.57,-118540.40000000001,True,8561.81,18842.67666666667,-225.49999999999997,18813.86,-78.83717627342513,16.014434920952404,2021,7890.33,9858.73,804.0,264.7610706771761,330.8109940036978,26.978326739749747,False,False,True
2021-03,30765.85,25923.39,2021-03-01,4842.459999999999,15.74,84.26,-113697.94,False,15942.706666666667,19657.153333333335,-162.8233333333333,20533.031666666666,932.352181251405,46.05500234942017,2021,16307.46,9615.93,13088.0,53.0050689319489,31.255206665832414,42.540674156572955,False,False,True
2021-04,2226.6,22039.11,2021-04-01,-19812.510000000002,-889.81,989.81,-133510.45,True,11990.873333333335,21903.853333333333,-456.5466666666666,21149.988333333335,-92.7627548076845,-14.983688475928492,2021,11969.58,10069.53,1168.0,537.5720829964969,452.2379412557263,52.45666037905327,False,False,True
2021-05,8831.43,20232.35,2021-05-01,-11400.919999999998,-129.09,229.09,-144911.37,True,13941.293333333333,22731.61666666667,-334.38666666666666,20787.146666666667,296.63298302344384,-8.197971696679229,2021,14520.7,5711.65,5283.0,164.42071102867826,64.67412412259395,59.82043678090637,False,False,True
2021-06,7581.0599999999995,20155.57,2021-06-01,-12574.51,-165.87,265.87,-157485.88,True,6213.03,20809.01,-394.92333333333323,20233.08166666667,-14.158182763153881,-0.37949126028364866,2021,17339.19,2816.38,5599.0,228.71722424040962,37.15021382234147,73.8551073332753,False,False,True
2021-07,18176.17,13672.2,2021-07-01,4503.9699999999975,24.78,75.22,-152981.91,False,11529.553333333335,18020.039999999997,-90.05999999999996,19961.946666666667,139.7576328376243,-32.166641776938086,2021,8499.57,5172.63,730.0,46.7621616655214,28.45830557262614,4.016247647331643,True,True,False
2021-08,9375.19,12643.84,2021-08-01,-3268.6499999999996,-34.86,134.86,-156250.56,True,11710.806666666665,15490.536666666667,-58.649999999999956,19111.076666666664,-48.420431807140886,-7.521540059390597,2021,6658.650000000001,5985.19,3025.0,71.02416057701231,63.84073282781468,32.26601274214176,False,False,True
2021-09,18363.8,15165.96,2021-09-01,3197.84,17.41,82.59,-153052.72,False,15305.053333333335,13827.333333333334,2.443333333333372,17318.171666666665,95.87656356831167,19.947421036647086,2021,10881.09,4284.87,8088.0,59.25293239961228,23.333242575066162,44.043171892527695,False,True,True
2021-10,15412.48,10658.09,2021-10-01,4754.389999999999,30.85,69.15,-148298.33000000002,False,14383.823333333334,12822.63,4.466666666666705,15421.335,-16.071401343948423,-29.723604704219177,2021,7291.5,3366.59,4203.0,47.30906382360269,21.843272464911553,27.270108379702684,True,True,True
2021-11,13839.24,13391.130000000001,2021-11-01,448.10999999999876,3.24,96.76,-147850.22000000003,False,15871.839999999998,13071.726666666667,17.166666666666707,14281.131666666668,-10.20757204551117,25.642868468928313,2021,7254.6900000000005,6136.4400000000005,5213.0,52.42115896537671,44.34087420985546,37.66825345900497,False,False,True
2021-12,33050.47,7428.19,2021-12-01,25622.280000000002,77.52,22.48,-122227.94000000003,False,20767.396666666667,10492.47,37.20333333333337,12159.901666666667,138.81708822160755,-44.529027796758015,2021,5271.76,2156.43,11998.0,15.950635497770532,6.524657591858754,36.30205561373257,True,True,True
2022-01,15156.77,16621.84,2022-01-01,-1465.0699999999997,-9.67,109.67,-123693.01000000004,True,20682.160000000003,12480.386666666667,23.696666666666705,12651.508333333333,-54.140531133142744,123.76702803778579,2022,8719.43,7902.41,5971.0,57.52828603983566,52.137823560032906,39.394937047933034,False,False,True
2022-02,21500.03,18441.66,2022-02-01,3058.369999999999,14.22,85.78,-120634.64000000004,False,23235.756666666668,14163.896666666667,27.3566666666667,13617.811666666666,41.851001235751404,10.948366727149338,2022,7845.98,10595.68,12757.0,36.49287931226142,49.2821637923296,59.33480092818475,True,False,True
2022-03,27173.04,21310.15,2022-03-01,5862.889999999999,21.58,78.42,-114771.75000000004,False,21276.61333333333,18791.216666666664,8.710000000000038,14641.843333333336,26.38605620550298,15.554402369417941,2022,9118.75,12191.4,7619.0,33.55807815393493,44.865793448211896,28.038820831235668,True,False,True
