Month,Exp_Forecast,Exp_Lower_80,Exp_Upper_80,Inc_Forecast,Net_Forecast,Breakeven
2025-01-01,16800.80607887997,13359.50184611292,20952.468847318523,20967.55264521052,4166.746566330548,True
2025-02-01,14567.797088336707,10508.958603252351,18719.459856775262,18298.179878052673,3730.3827897159663,True
2025-03-01,14070.627818533267,9329.018418437347,18222.29058697182,23199.478254500602,9128.850435967335,True
2025-04-01,12954.761915021203,9513.457682254153,17602.173345911426,12858.231382182099,-96.53053283910413,False
2025-05-01,14391.265294282988,9649.655894187068,18542.92806272154,13751.239813959137,-640.0254803238513,False
2025-06-01,14301.087616424931,9559.478216329011,18354.25117584384,15241.614377851643,940.5267614267123,True
2025-07-01,15101.928871234419,11118.953821151343,19253.591639672974,16133.75943460306,1031.8305633686414,True
2025-08-01,14120.161730687165,10137.186680604089,18200.24084245843,14438.389300269542,318.2275695823773,True
2025-09-01,12331.055969183768,7589.446569087848,16411.135080955035,18321.267681522037,5990.211712338269,True
2025-10-01,9597.690013937021,4835.080758653012,13749.352782375574,18659.389306447178,9061.699292510157,True
2025-11-01,11879.1244691946,7896.1494191115235,15966.361946632594,18813.397614353922,6934.273145159323,True
2025-12-01,8562.52246772233,3820.9130676264103,12642.601579493596,14505.266340916729,5942.7438731943985,True
